n1,n2,etype
P9699,A17952,PA
P9701,A16571,PA
P9702,A17954,PA
P9703,A17954,PA
P9706,A16932,PA
P9710,A17969,PA
P9717,A15829,PA
P9718,A15829,PA
P9720,A16771,PA
P9724,A17583,PA
P9729,A15206,PA
P9735,A17996,PA
P9739,A18004,PA
P9741,A18005,PA
P9742,A18006,PA
P9746,A17057,PA
P9752,A18018,PA
P9753,A18019,PA
P9754,A18019,PA
P9756,A18022,PA
P9757,A18022,PA
P9758,A18025,PA
P9767,A17577,PA
P9768,A17577,PA
P9769,A2290,PA
P9769,A18032,PA
P9771,A18035,PA
P9771,A18036,PA
P9776,A18045,PA
P9788,A18053,PA
P9790,A18053,PA
P9798,A18062,PA
P9810,A15179,PA
P9810,A18072,PA
P9812,A15179,PA
P9812,A18072,PA
P9813,A18073,PA
P9815,A4473,PA
P9817,A4473,PA
P9818,A1102,PA
P9822,A1102,PA
P9825,A18084,PA
P9827,A18084,PA
P9830,A4730,PA
P9831,A5586,PA
P9833,A18093,PA
P9838,A16893,PA
P9838,A18099,PA
P9840,A18084,PA
P9841,A18104,PA
P9845,A4927,PA
P9846,A4561,PA
P9847,A4927,PA
P9848,A5577,PA
P9850,A5577,PA
P9853,A18118,PA
P9854,A12317,PA
P9855,A18123,PA
P9856,A18125,PA
P9862,A18138,PA
P9866,A16217,PA
P9868,A18141,PA
P9873,A5577,PA
P9875,A18148,PA
P9878,A18158,PA
P9882,A18164,PA
P9883,A15887,PA
P9884,A16778,PA
P9886,A16778,PA
P9887,A15501,PA
P9888,A16778,PA
P9894,A17198,PA
P9899,A18182,PA
P9903,A17262,PA
P9905,A17262,PA
P9907,A17262,PA
P9909,A17262,PA
P9910,A18191,PA
P9911,A17262,PA
P9913,A17262,PA
P9917,A18201,PA
P9919,A18201,PA
P9920,A18204,PA
P9921,A18201,PA
P9923,A18206,PA
P9926,A16336,PA
P9928,A18215,PA
P9937,A18223,PA
P9939,A18223,PA
P9944,A17477,PA
P9946,A17477,PA
P9948,A18255,PA
P9949,A17912,PA
P9950,A18260,PA
P9951,A1245,PA
P9951,A17912,PA
P9952,A18260,PA
P9953,A17912,PA
P9955,A17424,PA
P9959,A17530,PA
P9963,A17530,PA
P9964,A16135,PA
P9964,A18274,PA
P9965,A15493,PA
P9966,A17530,PA
P9985,A18286,PA
P9989,A15787,PA
P9989,A18291,PA
P9991,A16319,PA
P9993,A15181,PA
P9995,A18296,PA
P10000,A17565,PA
P10003,A15278,PA
P10007,A15278,PA
P10011,A18305,PA
P10013,A18306,PA
P10015,A18312,PA
P10016,A18312,PA
P10019,A4927,PA
P10019,A17459,PA
P10020,A9153,PA
P10022,A9153,PA
P10024,A5795,PA
P10029,A4681,PA
P10031,A16721,PA
P10033,A16721,PA
P10034,A17669,PA
P10034,A17671,PA
P10035,A16721,PA
P10037,A798,PA
P10037,A16721,PA
P10037,A18326,PA
P10040,A18333,PA
P10042,A18336,PA
P10047,A15493,PA
P10049,A15334,PA
P10051,A18345,PA
P10053,A16691,PA
P10060,A18356,PA
P10066,A18363,PA
P10068,A18363,PA
P10069,A15844,PA
P10069,A17763,PA
P10073,A16721,PA
P10074,A18368,PA
P10074,A18369,PA
P10075,A18370,PA
P10077,A18370,PA
P10081,A15324,PA
P10087,A15201,PA
P10087,A18381,PA
P10088,A15946,PA
P10089,A17781,PA
P10093,A4319,PA
P10093,A16322,PA
P10095,A18390,PA
P10097,A4642,PA
P10097,A18390,PA
P10104,A18395,PA
P10114,A15732,PA
P10115,A18413,PA
P10115,A18414,PA
P10121,A15493,PA
P10129,A16490,PA
P10134,A16490,PA
P10135,A18452,PA
P10136,A18454,PA
P10148,A15574,PA
P10149,A15786,PA
P10150,A18476,PA
P10152,A18476,PA
P10158,A18073,PA
P10159,A18491,PA
P10160,A18492,PA
P10169,A18496,PA
P10175,A15732,PA
P10178,A15732,PA
P10180,A15732,PA
P10182,A15732,PA
P10185,A3759,PA
P10185,A18505,PA
P10197,A17871,PA
P10198,A18526,PA
P10199,A17871,PA
P10201,A17871,PA
P10203,A17565,PA
P10203,A17871,PA
P10205,A15310,PA
P10216,A15278,PA
P10216,A15410,PA
P10216,A15575,PA
P10216,A18546,PA
P10216,A18547,PA
P10221,A18550,PA
P10222,A4473,PA
P10226,A16850,PA
P10232,A18562,PA
P10234,A18562,PA
P10235,A18564,PA
P10235,A18565,PA
P10237,A5739,PA
P10241,A17565,PA
P10241,A18550,PA
P10249,A17764,PA
P10252,A16737,PA
P10257,A17041,PA
P10274,A18598,PA
P10277,A15410,PA
P10277,A18496,PA
P10279,A18604,PA
P10285,A13897,PA
P10285,A18613,PA
P10285,A18614,PA
P10293,A18625,PA
P10295,A18625,PA
P10300,A18629,PA
P10302,A18629,PA
P10303,A18618,PA
P10304,A15334,PA
P10304,A18629,PA
P10305,A18632,PA
P10306,A18629,PA
P10309,A16490,PA
P10310,A18636,PA
P10314,A18640,PA
P10315,A18640,PA
P10326,A15704,PA
P10332,A18654,PA
P10334,A18660,PA
P10335,A4472,PA
P10335,A4473,PA
P10335,A17480,PA
P10337,A435,PA
P10338,A18664,PA
P10340,A18667,PA
P10343,A5795,PA
P10352,A15204,PA
P10361,A15493,PA
P10369,A14729,PA
P10372,A17712,PA
P10376,A15481,PA
P10376,A18718,PA
P10377,A4842,PA
P10377,A15481,PA
P10377,A18718,PA
P10384,A4561,PA
P10388,A15514,PA
P10395,A15993,PA
P10396,A18057,PA
P10397,A18746,PA
P10400,A4516,PA
P10405,A4840,PA
P10405,A4842,PA
P10405,A18752,PA
P10408,A18760,PA
P10409,A4681,PA
P10409,A17712,PA
P10411,A16342,PA
P10412,A16342,PA
P10413,A18547,PA
P10413,A18766,PA
P10414,A15468,PA
P10414,A17230,PA
P10420,A18004,PA
P10421,A16300,PA
P10421,A18004,PA
P10425,A15210,PA
P10427,A13896,PA
P10428,A18780,PA
P10435,A17424,PA
P10452,A15474,PA
P10454,A4842,PA
P10455,A18792,PA
P10460,A1245,PA
P10461,A1245,PA
P10462,A1245,PA
P10463,A1245,PA
P10464,A18797,PA
P10465,A18797,PA
P10465,A18800,PA
P10466,A18801,PA
P10469,A16128,PA
P10475,A18369,PA
P10476,A16284,PA
P10477,A16284,PA
P10479,A18811,PA
P10480,A18811,PA
P10487,A15438,PA
P10487,A15440,PA
P10492,A18084,PA
P10493,A15151,PA
P10493,A15153,PA
P10499,A18825,PA
P10502,A16200,PA
P10504,A15816,PA
P10504,A18831,PA
P10505,A16081,PA
P10507,A15846,PA
P10509,A18837,PA
P10510,A15324,PA
P10515,A15521,PA
P10516,A4927,PA
P10518,A15756,PA
P10518,A17101,PA
P10519,A15756,PA
P10519,A17101,PA
P10530,A15732,PA
P10531,A18872,PA
P10533,A15710,PA
P10533,A18873,PA
P10533,A18874,PA
P10534,A18876,PA
P10536,A18880,PA
P10537,A15732,PA
P10537,A18880,PA
P10543,A15157,PA
P10553,A18897,PA
P10557,A15254,PA
P10559,A18904,PA
P10563,A18913,PA
P10567,A18917,PA
P10568,A17894,PA
P10573,A18923,PA
P10580,A18930,PA
P10582,A18934,PA
P10584,A15310,PA
P10589,A18940,PA
P10590,A18942,PA
P10591,A18564,PA
P10596,A5049,PA
P10596,A18032,PA
P10598,A18792,PA
P10601,A18960,PA
P10604,A17863,PA
P10604,A17864,PA
P10606,A18968,PA
P10608,A18968,PA
P10613,A18976,PA
P10614,A4865,PA
P10615,A15768,PA
P10617,A15768,PA
P10619,A17714,PA
P10621,A15791,PA
P10627,A16728,PA
P10628,A14236,PA
P10631,A18994,PA
P10635,A16728,PA
P10636,A16728,PA
P10637,A19002,PA
P10638,A15493,PA
P10638,A19002,PA
P10640,A17319,PA
P10643,A15844,PA
P10647,A15829,PA
P10651,A19012,PA
P10652,A16619,PA
P10655,A16397,PA
P10655,A19016,PA
P10657,A19016,PA
P10657,A19017,PA
P10660,A19022,PA
P10662,A16721,PA
P10662,A18326,PA
P10664,A19024,PA
P10664,A19025,PA
P10666,A19027,PA
P10667,A19028,PA
P10672,A17217,PA
P10673,A19031,PA
P10675,A15594,PA
P10677,A15594,PA
P10679,A15594,PA
P10679,A19037,PA
P10681,A17281,PA
P10683,A19042,PA
P10690,A17424,PA
P10692,A18960,PA
P10693,A17424,PA
P10697,A16641,PA
P10703,A19057,PA
P10706,A19062,PA
P10708,A16067,PA
P10710,A15710,PA
P10710,A18874,PA
P10713,A4473,PA
P10715,A4473,PA
P10721,A4472,PA
P10721,A4473,PA
P10724,A19076,PA
P10733,A16431,PA
P10739,A19095,PA
P10740,A15732,PA
P10751,A15521,PA
P10752,A18104,PA
P10754,A18104,PA
P10760,A19112,PA
P10761,A19114,PA
P10764,A18386,PA
P10764,A19116,PA
P10768,A19117,PA
P10770,A19117,PA
P10773,A15844,PA
P10777,A4469,PA
P10784,A19138,PA
P10787,A19138,PA
P10789,A19138,PA
P10792,A19138,PA
P10794,A15283,PA
P10795,A16284,PA
P10798,A19151,PA
P10799,A17317,PA
P10800,A4927,PA
P10800,A15283,PA
P10804,A19160,PA
P10805,A15291,PA
P10806,A19160,PA
P10808,A16782,PA
P10808,A19160,PA
P10810,A19160,PA
P10814,A19163,PA
P10818,A19172,PA
P10820,A19172,PA
P10822,A19172,PA
P10826,A17841,PA
P10829,A18125,PA
P10831,A18255,PA
P10833,A4561,PA
P10834,A19195,PA
P10837,A16216,PA
P10844,A19204,PA
P10845,A16153,PA
P10849,A13897,PA
P10849,A19216,PA
P10850,A15841,PA
P10854,A19220,PA
P10856,A16425,PA
P10860,A19225,PA
P10861,A16458,PA
P10862,A4927,PA
P10864,A4927,PA
P10865,A5577,PA
P10866,A4927,PA
P10868,A4927,PA
P10868,A15201,PA
P10872,A19232,PA
P10873,A19233,PA
P10874,A4681,PA
P10877,A19236,PA
P10878,A16431,PA
P10879,A19237,PA
P10880,A16431,PA
P10882,A16431,PA
P10883,A19240,PA
P10884,A16431,PA
P10885,A17281,PA
P10887,A19249,PA
P10889,A19249,PA
P10892,A16721,PA
P10893,A19252,PA
P10895,A19252,PA
P10913,A17281,PA
P10913,A19278,PA
P10915,A17281,PA
P10916,A15887,PA
P10916,A15889,PA
P10920,A15887,PA
P10923,A16641,PA
P10927,A15310,PA
P10927,A19297,PA
P10929,A15310,PA
P10929,A19297,PA
P10941,A12403,PA
P10942,A17468,PA
P10943,A17468,PA
P10948,A16527,PA
P10949,A16527,PA
P10953,A19016,PA
P10955,A19320,PA
P10956,A16691,PA
P10956,A16692,PA
P10958,A19324,PA
P10959,A15222,PA
P10961,A19330,PA
P10963,A19332,PA
P10964,A19333,PA
P10971,A19337,PA
P10982,A18801,PA
P10987,A19347,PA
P10991,A15829,PA
P10996,A3673,PA
P10996,A17583,PA
P10997,A15592,PA
P10997,A15601,PA
P10997,A15610,PA
P10998,A13957,PA
P10998,A15601,PA
P10999,A15601,PA
P10999,A19362,PA
P11000,A15350,PA
P11001,A5049,PA
P11002,A5049,PA
P11003,A5049,PA
P11004,A17468,PA
P11004,A19364,PA
P11008,A16737,PA
P11018,A4561,PA
P11027,A19380,PA
P11033,A19389,PA
P11041,A19393,PA
P11042,A19393,PA
P11043,A19397,PA
P11045,A15950,PA
P11045,A19401,PA
P11047,A19403,PA
P11049,A17671,PA
P11050,A17671,PA
P11051,A15365,PA
P11056,A16133,PA
P11057,A16133,PA
P11058,A19409,PA
P11059,A19409,PA
P11061,A19112,PA
P11063,A18883,PA
P11064,A17457,PA
P11064,A18883,PA
P11077,A18164,PA
P11081,A19428,PA
P11082,A4561,PA
P11090,A17057,PA
P11090,A19435,PA
P11093,A15791,PA
P11094,A15153,PA
P11097,A19443,PA
