synID,ID,label,type
190,A149378,3,A
191,A261604,1,A
192,A153681,2,A
193,A113885,3,A
194,A175609,0,A
195,A160263,1,A
196,A39893,3,A
197,A421512,3,A
198,A27099,2,A
199,A90610,0,A
200,A152125,1,A
201,A28437,0,A
202,A16554,2,A
203,A421555,3,A
204,A27344,3,A
205,A366360,1,A
206,A19730,2,A
207,A366673,1,A
208,A157624,3,A
209,A4730,2,A
210,A232795,2,A
211,A18976,2,A
212,A114604,3,A
213,A113985,3,A
214,A123529,2,A
215,A45135,3,A
216,A30408,0,A
217,A15909,2,A
218,A123392,3,A
219,A20636,2,A
220,A113185,0,A
221,A127409,3,A
222,A421274,3,A
223,A51060,0,A
224,A114663,0,A
225,A421279,3,A
226,A421414,3,A
227,A20767,3,A
228,A136228,0,A
229,A17849,2,A
230,A152611,0,A
231,A316261,2,A
232,A35739,0,A
233,A421430,3,A
234,A18825,2,A
235,A171336,3,A
236,A15254,2,A
237,A17781,0,A
238,A16728,2,A
239,A17969,2,A
240,A43560,1,A
241,A15334,2,A
242,A388810,0,A
243,A173241,3,A
244,A196442,3,A
245,A114080,3,A
246,A77875,0,A
247,A17247,2,A
248,A86261,0,A
249,A11175,3,A
250,A421433,3,A
251,A5049,2,A
252,A86077,0,A
253,A306205,3,A
254,A113792,0,A
255,A115799,3,A
256,A175770,0,A
257,A36839,0,A
258,A124665,0,A
259,A55020,0,A
260,A84107,0,A
261,A6805,1,A
262,A30530,0,A
263,A421477,3,A
264,A316589,2,A
265,A4840,3,A
266,A29211,3,A
267,A114396,3,A
268,A16047,1,A
269,A19539,2,A
270,A113618,1,A
271,A20158,2,A
272,A300476,2,A
273,A62156,0,A
274,A422666,1,A
275,A13106,0,A
276,A422045,0,A
277,A438240,0,A
278,A47349,0,A
279,A156563,1,A
280,A34702,0,A
281,A42621,1,A
282,A26251,3,A
283,A134255,0,A
284,A15706,2,A
285,A421543,3,A
286,A117587,3,A
287,A87481,0,A
288,A114001,1,A
289,A149004,0,A
290,A5160,3,A
291,A395389,0,A
292,A366320,1,A
293,A65896,0,A
294,A84215,1,A
295,A260491,0,A
296,A175479,0,A
297,A316430,2,A
298,A20088,2,A
299,A421546,3,A
300,A56021,3,A
301,A382904,1,A
302,A421413,3,A
303,A15647,2,A
304,A71298,2,A
305,A113690,3,A
306,A114480,3,A
307,A16934,2,A
308,A33794,0,A
309,A78321,0,A
310,A43231,1,A
311,A316281,2,A
312,A261801,1,A
313,A17565,2,A
314,A113733,3,A
315,A260543,0,A
316,A127154,0,A
317,A422556,0,A
318,A52787,3,A
319,A52819,3,A
320,A19684,2,A
321,A164091,2,A
322,A316204,2,A
323,A316829,2,A
324,A363969,3,A
325,A13573,0,A
326,A39868,2,A
327,A421242,3,A
328,A75279,1,A
329,A226723,1,A
330,A421171,3,A
331,A421497,3,A
332,A103704,3,A
333,A399087,0,A
334,A16055,2,A
335,A421568,3,A
336,A20523,2,A
337,A26685,3,A
338,A12317,3,A
339,A20732,1,A
340,A113833,0,A
341,A69828,3,A
342,A18604,2,A
343,A17678,1,A
344,A366585,3,A
345,A16811,2,A
346,A435,2,A
347,A113788,0,A
348,A114802,3,A
349,A179314,1,A
350,A38723,0,A
351,A34558,0,A
352,A422319,0,A
353,A17284,2,A
354,A421315,3,A
355,A15266,1,A
356,A30084,0,A
357,A421481,3,A
358,A18312,2,A
359,A17807,2,A
360,A34451,0,A
361,A17207,2,A
362,A15836,2,A
363,A421327,3,A
364,A348177,3,A
365,A421412,3,A
366,A48903,3,A
367,A16933,2,A
368,A18204,3,A
369,A152917,0,A
370,A157988,0,A
371,A37561,1,A
372,A163704,1,A
373,A115770,3,A
374,A81587,1,A
375,A164024,0,A
376,A36493,0,A
377,A316005,2,A
378,A48515,2,A
379,A15142,2,A
380,A163702,1,A
381,A114115,0,A
382,A34364,0,A
383,A17313,2,A
384,A34224,0,A
385,A421440,3,A
386,A164399,1,A
387,A19653,2,A
388,A175650,0,A
389,A17864,2,A
390,A85913,1,A
391,A4136,3,A
392,A17014,2,A
393,A127499,1,A
394,A438618,0,A
395,A60391,0,A
396,A7569,3,A
397,A20881,2,A
398,A9518,3,A
399,A130079,0,A
400,A260629,0,A
401,A366410,1,A
402,A165633,3,A
403,A173228,1,A
404,A154905,0,A
405,A117239,0,A
406,A20262,2,A
407,A171309,1,A
408,A16559,1,A
409,A42761,2,A
410,A12284,1,A
411,A42730,2,A
412,A321747,3,A
413,A43739,1,A
414,A19563,2,A
415,A133432,1,A
416,A5586,2,A
417,A33554,0,A
418,A316491,2,A
419,A19485,2,A
420,A366250,1,A
421,A56037,1,A
422,A260819,0,A
423,A154873,3,A
424,A366252,1,A
425,A366284,1,A
426,A422589,0,A
427,A12945,0,A
428,A421278,3,A
429,A366670,1,A
430,A113723,3,A
431,A16638,2,A
432,A15955,2,A
433,A34652,0,A
434,A121276,0,A
435,A4225,1,A
436,A316265,2,A
437,A16588,2,A
438,A42316,0,A
439,A132004,0,A
440,A58504,1,A
441,A83952,0,A
442,A75082,3,A
443,A50600,2,A
444,A17242,3,A
445,A193280,1,A
446,A211388,3,A
447,A288681,3,A
448,A321764,3,A
449,A181405,3,A
450,A48971,3,A
451,A122157,1,A
452,A181450,3,A
453,A9153,0,A
454,A422513,0,A
455,A208170,2,A
456,A259054,1,A
457,A114527,3,A
458,A366543,1,A
459,A16191,2,A
460,A19748,0,A
461,A27523,3,A
462,A16973,1,A
463,A4830,2,A
464,A15297,2,A
465,A438496,0,A
466,A366603,1,A
467,A34484,0,A
468,A316909,2,A
469,A86202,0,A
470,A27255,1,A
471,A16931,2,A
472,A421559,3,A
473,A113239,0,A
474,A422500,0,A
475,A29396,0,A
476,A308874,3,A
477,A33849,0,A
478,A113807,1,A
479,A37007,1,A
480,A384705,3,A
481,A19925,3,A
482,A43856,0,A
483,A174762,1,A
484,A20005,2,A
485,A260539,0,A
486,A422518,0,A
487,A16964,2,A
488,A422479,0,A
489,A18028,0,A
490,A421482,3,A
491,A421223,3,A
492,A421185,3,A
493,A143606,1,A
494,A421600,3,A
495,A16260,2,A
496,A114041,3,A
497,A18138,3,A
498,A27039,3,A
499,A216467,3,A
500,A26849,2,A
501,A17101,2,A
502,A38005,1,A
503,A35468,1,A
504,A34312,0,A
505,A196002,1,A
506,A48770,3,A
507,A438454,0,A
508,A13095,0,A
509,A131207,2,A
510,A19922,0,A
511,A20798,3,A
512,A366666,1,A
513,A422491,0,A
514,A114734,3,A
515,A438202,0,A
516,A20048,2,A
517,A2526,0,A
518,A33478,0,A
519,A85873,0,A
520,A421024,3,A
521,A147883,0,A
522,A17487,2,A
523,A18251,0,A
524,A19062,2,A
525,A408977,3,A
526,A316275,2,A
527,A114479,3,A
528,A50558,1,A
529,A82738,0,A
530,A13380,1,A
531,A189850,0,A
532,A21385,0,A
533,A421236,3,A
534,A261707,1,A
535,A16648,2,A
536,A113654,3,A
537,A421506,3,A
538,A35510,0,A
539,A152581,0,A
540,A16681,0,A
541,A95157,0,A
542,A260605,0,A
543,A184946,1,A
544,A180434,0,A
545,A18930,3,A
546,A113655,2,A
547,A69497,0,A
548,A242818,3,A
549,A366249,1,A
550,A15267,2,A
551,A171091,1,A
552,A33483,0,A
553,A26193,3,A
554,A19112,2,A
555,A156385,0,A
556,A5795,2,A
557,A158008,3,A
558,A220830,1,A
559,A113735,3,A
560,A15728,2,A
561,A35875,2,A
562,A16334,1,A
563,A85870,0,A
564,A22570,2,A
565,A16163,2,A
566,A113285,0,A
567,A9791,3,A
568,A316356,2,A
569,A18350,3,A
570,A221283,3,A
571,A152294,0,A
572,A84093,0,A
573,A113740,3,A
574,A116729,0,A
575,A152336,0,A
576,A260301,0,A
577,A316568,3,A
578,A366557,1,A
579,A136630,3,A
580,A51793,2,A
581,A114617,0,A
582,A122827,0,A
583,A27324,3,A
584,A16579,2,A
585,A134982,0,A
586,A156666,3,A
587,A168771,2,A
588,A16720,2,A
589,A18206,2,A
590,A16996,2,A
591,A15672,0,A
592,A4886,2,A
593,A135521,0,A
594,A114572,3,A
595,A19677,2,A
596,A114434,3,A
597,A18660,2,A
598,A19409,2,A
599,A117422,3,A
600,A19249,2,A
601,A438547,0,A
602,A45537,1,A
603,A122938,3,A
604,A15839,2,A
605,A366312,1,A
606,A24226,3,A
607,A57164,1,A
608,A438328,0,A
609,A14236,0,A
610,A19695,2,A
611,A17423,3,A
612,A18062,2,A
613,A260913,0,A
614,A78327,0,A
615,A16170,2,A
616,A260731,0,A
617,A257672,3,A
618,A422551,0,A
619,A152652,0,A
620,A186494,3,A
621,A20188,2,A
622,A19017,2,A
623,A52882,2,A
624,A421561,3,A
625,A254811,3,A
626,A130676,3,A
627,A438299,0,A
628,A15608,2,A
629,A33647,0,A
630,A1313,2,A
631,A52222,3,A
632,A39026,1,A
633,A152487,0,A
634,A119333,0,A
635,A168310,2,A
636,A16692,2,A
637,A20209,0,A
638,A422387,0,A
639,A19926,1,A
640,A34106,0,A
641,A117255,3,A
642,A34152,1,A
643,A238939,0,A
644,A114466,3,A
645,A78036,0,A
646,A153317,1,A
647,A71243,3,A
648,A20541,2,A
649,A161460,1,A
650,A19645,2,A
651,A154946,0,A
652,A16564,3,A
653,A85805,0,A
654,A152775,0,A
655,A85918,1,A
656,A46243,3,A
657,A34480,0,A
658,A76143,3,A
659,A86198,0,A
660,A114110,3,A
661,A77800,0,A
662,A4793,2,A
663,A16092,2,A
664,A15179,2,A
665,A86264,0,A
666,A173254,2,A
667,A20264,2,A
668,A33910,0,A
669,A316830,2,A
670,A33889,0,A
671,A95018,0,A
672,A282796,3,A
673,A316394,2,A
674,A364152,3,A
675,A15463,1,A
676,A15926,2,A
677,A15710,2,A
678,A86232,0,A
679,A113196,0,A
680,A11870,0,A
681,A20531,2,A
682,A85853,0,A
683,A71611,1,A
684,A316774,2,A
685,A316976,2,A
686,A61262,3,A
687,A30177,1,A
688,A71373,2,A
689,A19025,2,A
690,A88971,1,A
691,A12443,0,A
692,A118758,0,A
693,A18733,0,A
694,A18084,3,A
695,A15229,2,A
696,A19346,2,A
697,A366275,1,A
698,A261780,1,A
699,A251309,0,A
700,A39764,2,A
701,A173385,2,A
702,A422512,0,A
703,A399133,0,A
704,A328308,1,A
705,A15768,2,A
706,A196000,1,A
707,A19236,2,A
708,A18454,2,A
709,A26361,3,A
710,A115350,1,A
711,A421369,3,A
712,A139699,1,A
713,A192,2,A
714,A152106,0,A
715,A18792,2,A
716,A17383,2,A
717,A45522,3,A
718,A48550,2,A
719,A261693,1,A
720,A71727,1,A
721,A261266,1,A
722,A114555,3,A
723,A17440,2,A
724,A421151,3,A
725,A113962,0,A
726,A77756,0,A
727,A20057,2,A
728,A41716,1,A
729,A114171,3,A
730,A46656,3,A
731,A28499,0,A
732,A19252,2,A
733,A261028,0,A
734,A84135,0,A
735,A95379,3,A
736,A20122,2,A
737,A78113,0,A
738,A116670,3,A
739,A15570,2,A
740,A114361,3,A
741,A16415,3,A
742,A82333,0,A
743,A152486,0,A
744,A304859,3,A
745,A29169,0,A
746,A149145,0,A
747,A47352,1,A
748,A19037,2,A
749,A152635,0,A
750,A16355,3,A
751,A18296,2,A
752,A179887,3,A
753,A16142,2,A
754,A19445,0,A
755,A15884,2,A
756,A1930,2,A
757,A27391,2,A
758,A51414,0,A
759,A28003,3,A
760,A438654,0,A
761,A18897,3,A
762,A421437,3,A
763,A399458,3,A
764,A125786,3,A
765,A82541,0,A
766,A114146,0,A
767,A171215,3,A
768,A72177,3,A
769,A421326,3,A
770,A20274,2,A
771,A33581,0,A
772,A15454,3,A
773,A421086,3,A
774,A86367,0,A
775,A17095,2,A
776,A260917,0,A
777,A260950,1,A
778,A4642,2,A
779,A168839,0,A
780,A17281,2,A
781,A16074,2,A
782,A33521,0,A
783,A19012,2,A
784,A8053,0,A
785,A16336,2,A
786,A27222,2,A
787,A20404,2,A
788,A26907,3,A
789,A366495,1,A
790,A113785,3,A
791,A226326,1,A
792,A52176,3,A
793,A50733,1,A
794,A260434,0,A
795,A15407,2,A
796,A19297,2,A
797,A155372,0,A
798,A16081,2,A
799,A5577,2,A
800,A15582,2,A
801,A78897,1,A
802,A163573,1,A
803,A20049,2,A
804,A16422,1,A
805,A261671,1,A
806,A43728,0,A
807,A34176,0,A
808,A230983,3,A
809,A78211,0,A
810,A278343,1,A
811,A421164,3,A
812,A117321,3,A
813,A15756,2,A
814,A366417,1,A
815,A52845,3,A
816,A94908,0,A
817,A385999,3,A
818,A124231,2,A
819,A69177,3,A
820,A714,1,A
821,A51659,2,A
822,A35520,1,A
823,A175732,0,A
824,A422655,0,A
825,A199352,1,A
826,A148495,0,A
827,A282818,1,A
828,A35680,3,A
829,A85904,0,A
830,A48623,1,A
831,A18047,2,A
832,A34139,0,A
833,A124335,1,A
834,A44267,3,A
835,A16855,2,A
836,A77107,1,A
837,A36244,3,A
838,A238810,3,A
839,A18431,2,A
840,A224590,0,A
841,A50758,1,A
842,A1844,0,A
843,A109641,3,A
844,A99023,1,A
845,A438587,0,A
846,A180845,0,A
847,A18831,2,A
848,A114199,0,A
849,A50865,1,A
850,A18074,1,A
851,A366452,1,A
852,A50529,2,A
853,A15571,2,A
854,A175466,0,A
855,A74739,1,A
856,A261537,1,A
857,A117356,3,A
858,A15780,2,A
859,A18386,2,A
860,A85979,0,A
861,A18598,2,A
862,A114030,3,A
863,A19057,2,A
864,A16530,2,A
865,A366481,1,A
866,A16764,2,A
867,A131990,3,A
868,A366266,1,A
869,A266469,1,A
870,A26636,3,A
871,A16893,2,A
872,A113248,0,A
873,A152595,0,A
874,A17583,2,A
875,A20552,2,A
876,A421107,3,A
877,A175597,1,A
878,A68926,0,A
879,A422494,0,A
880,A366680,1,A
881,A214955,3,A
882,A16821,2,A
883,A16641,2,A
884,A7728,2,A
885,A16929,2,A
886,A76608,0,A
887,A19195,2,A
888,A232726,0,A
889,A631,2,A
890,A260645,0,A
891,A62337,3,A
892,A6295,1,A
893,A138396,1,A
894,A16217,2,A
895,A422365,0,A
896,A16541,2,A
897,A175617,0,A
898,A148368,0,A
899,A34555,3,A
900,A422194,0,A
901,A19936,2,A
902,A47794,3,A
903,A36560,0,A
904,A50250,3,A
905,A16396,2,A
906,A136184,0,A
907,A260974,0,A
908,A34477,0,A
909,A438633,0,A
910,A26855,2,A
911,A282842,2,A
912,A208612,3,A
913,A20865,2,A
914,A168716,2,A
915,A156806,1,A
916,A26434,3,A
917,A19990,2,A
918,A22116,2,A
919,A260673,0,A
920,A283061,2,A
921,A149241,0,A
922,A15846,2,A
923,A37642,1,A
924,A95378,3,A
925,A176395,0,A
926,A3711,3,A
927,A15615,2,A
928,A114305,3,A
929,A4239,3,A
930,A422441,0,A
931,A16589,2,A
932,A245062,0,A
933,A3675,0,A
934,A77808,0,A
935,A48781,3,A
936,A422645,0,A
937,A51920,1,A
938,A12583,3,A
939,A367431,1,A
940,A15392,2,A
941,A124190,3,A
942,A3666,3,A
943,A209522,0,A
944,A4469,2,A
945,A421235,3,A
946,A17217,2,A
947,A114778,3,A
948,A113217,0,A
949,A63453,0,A
950,A114776,3,A
951,A261103,0,A
952,A48845,3,A
953,A13957,2,A
954,A422590,0,A
955,A316021,2,A
956,A17485,3,A
957,A15973,2,A
958,A125037,0,A
959,A16490,2,A
960,A19116,2,A
961,A18718,2,A
962,A12837,0,A
963,A2418,0,A
964,A78964,1,A
965,A438457,0,A
966,A38168,0,A
967,A20769,3,A
968,A421105,3,A
969,A24026,3,A
970,A37567,0,A
971,A260188,0,A
972,A157136,0,A
973,A16895,2,A
974,A114530,3,A
975,A28560,3,A
976,A147995,0,A
977,A158688,3,A
978,A48858,3,A
979,A27595,3,A
980,A421102,3,A
981,A260430,0,A
982,A28020,3,A
983,A15612,2,A
984,A78086,0,A
985,A85802,0,A
986,A17529,2,A
987,A17829,2,A
988,A171389,3,A
989,A4595,2,A
990,A111431,0,A
991,A438313,0,A
992,A88163,0,A
993,A16347,2,A
994,A18801,2,A
995,A86272,0,A
996,A316698,2,A
997,A261749,1,A
998,A127870,3,A
999,A86346,3,A
1000,A34742,0,A
1001,A19498,2,A
1002,A390665,3,A
1003,A279681,0,A
1004,A260596,1,A
1005,A16001,2,A
1006,A261466,0,A
1007,A19403,2,A
1008,A78077,0,A
1009,A316518,2,A
1010,A16789,2,A
1011,A39839,1,A
1012,A421355,3,A
1013,A366395,1,A
1014,A18072,2,A
1015,A421549,3,A
1016,A95146,3,A
1017,A48499,2,A
1018,A113887,3,A
1019,A65136,1,A
1020,A18618,2,A
1021,A422842,1,A
1022,A366424,1,A
1023,A18019,2,A
1024,A438184,0,A
1025,A49427,1,A
1026,A231145,3,A
1027,A16708,2,A
1028,A94983,0,A
1029,A113738,3,A
1030,A124204,1,A
1031,A422588,0,A
1032,A361925,0,A
1033,A146231,0,A
1034,A113841,3,A
1035,A18414,2,A
1036,A310378,2,A
1037,A260220,0,A
1038,A26794,2,A
1039,A287152,3,A
1040,A9784,0,A
1041,A15725,2,A
1042,A278773,2,A
1043,A398762,0,A
1044,A39765,3,A
1045,A22588,0,A
1046,A28292,3,A
1047,A104482,2,A
1048,A114194,3,A
1049,A28826,0,A
1050,A282822,1,A
1051,A42665,1,A
1052,A114526,3,A
1053,A20014,2,A
1054,A18035,2,A
1055,A84246,0,A
1056,A19138,2,A
1057,A438297,0,A
1058,A116919,3,A
1059,A422532,0,A
1060,A79188,3,A
1061,A15940,2,A
1062,A18045,2,A
1063,A167528,3,A
1064,A422185,0,A
1065,A119644,0,A
1066,A34104,1,A
1067,A26605,3,A
1068,A12801,2,A
1069,A50729,1,A
1070,A84158,0,A
1071,A33955,1,A
1072,A6976,0,A
1073,A34287,0,A
1074,A171280,3,A
1075,A113623,3,A
1076,A182533,0,A
1077,A398253,3,A
1078,A71261,0,A
1079,A13086,0,A
1080,A154479,3,A
1081,A72962,0,A
1082,A38141,0,A
1083,A40137,1,A
1084,A26900,3,A
1085,A11721,0,A
1086,A1336,1,A
1087,A74812,1,A
1088,A192722,0,A
1089,A1116,0,A
1090,A15470,3,A
1091,A20053,2,A
1092,A438206,0,A
1093,A38831,0,A
1094,A114837,1,A
1095,A114494,3,A
1096,A114471,0,A
1097,A17251,1,A
1098,A152628,0,A
1099,A125451,1,A
1100,A149070,0,A
1101,A30081,1,A
1102,A15516,2,A
1103,A261092,0,A
1104,A260704,0,A
1105,A113951,3,A
1106,A90702,0,A
1107,A109134,3,A
1108,A421036,3,A
1109,A175683,0,A
1110,A256258,2,A
1111,A106807,1,A
1112,A421459,3,A
1113,A32269,1,A
1114,A16338,2,A
1115,A421330,3,A
1116,A2280,3,A
1117,A260847,0,A
1118,A421406,3,A
1119,A248787,3,A
1120,A31126,1,A
1121,A7907,2,A
1122,A152492,0,A
1123,A15291,2,A
1124,A364991,0,A
1125,A31432,1,A
1126,A155373,3,A
1127,A17568,2,A
1128,A16026,2,A
1129,A421250,3,A
1130,A175821,0,A
1131,A76906,2,A
1132,A74469,0,A
1133,A107383,3,A
1134,A26061,3,A
1135,A261796,3,A
1136,A421299,3,A
1137,A266659,3,A
1138,A316398,2,A
1139,A40739,0,A
1140,A79206,1,A
1141,A33745,0,A
1142,A326275,1,A
1143,A261617,1,A
1144,A19410,1,A
1145,A17262,2,A
1146,A315669,3,A
1147,A148957,0,A
1148,A261267,1,A
1149,A173449,2,A
1150,A27040,3,A
1151,A4606,0,A
1152,A261269,1,A
1153,A114424,3,A
1154,A20368,2,A
1155,A152261,3,A
1156,A20746,2,A
1157,A18380,2,A
1158,A316755,2,A
1159,A77809,0,A
1160,A18496,2,A
1161,A75108,2,A
1162,A4319,2,A
1163,A56013,1,A
1164,A89095,1,A
1165,A113691,0,A
1166,A77815,0,A
1167,A18223,2,A
1168,A10497,1,A
1169,A421134,3,A
1170,A261650,1,A
1171,A78112,0,A
1172,A16762,2,A
1173,A155003,3,A
1174,A20461,2,A
1175,A316932,2,A
1176,A15588,2,A
1177,A201695,0,A
1178,A33981,0,A
1179,A38071,2,A
1180,A18188,2,A
1181,A221815,3,A
1182,A127591,1,A
1183,A124489,0,A
1184,A33585,1,A
1185,A114411,3,A
1186,A16269,2,A
1187,A113621,1,A
1188,A16101,2,A
1189,A230417,3,A
1190,A82368,3,A
1191,A260999,0,A
1192,A152610,0,A
1193,A177026,3,A
1194,A84132,0,A
1195,A421399,3,A
1196,A18093,2,A
1197,A283077,2,A
1198,A258823,0,A
1199,A3759,2,A
1200,A17041,2,A
1201,A153761,3,A
1202,A316555,2,A
1203,A261205,0,A
1204,A438451,0,A
1205,A18369,2,A
1206,A4254,3,A
1207,A316716,2,A
1208,A16691,2,A
1209,A124995,0,A
1210,A74355,1,A
1211,A421263,3,A
1212,A363816,3,A
1213,A90832,0,A
1214,A42459,1,A
1215,A106634,3,A
1216,A19866,2,A
1217,A75023,1,A
1218,A17316,2,A
1219,A16380,2,A
1220,A438634,0,A
1221,A283069,3,A
1222,A4968,0,A
1223,A13075,3,A
1224,A19797,0,A
1225,A35785,2,A
1226,A35939,3,A
1227,A366224,1,A
1228,A44422,2,A
1229,A19670,2,A
1230,A421451,3,A
1231,A100282,3,A
1232,A422168,0,A
1233,A363604,0,A
1234,A62146,3,A
1235,A15414,1,A
1236,A9873,1,A
1237,A34600,1,A
1238,A13451,0,A
1239,A101422,3,A
1240,A113236,0,A
1241,A60095,0,A
1242,A28555,3,A
1243,A422700,0,A
1244,A421215,3,A
1245,A114773,3,A
1246,A27836,3,A
1247,A16377,2,A
1248,A18883,1,A
1249,A19237,2,A
1250,A34236,0,A
1251,A8320,3,A
1252,A114427,3,A
1253,A261660,1,A
1254,A438397,0,A
1255,A15601,2,A
1256,A171395,3,A
1257,A19160,2,A
1258,A20308,3,A
1259,A20529,2,A
1260,A117282,3,A
1261,A16527,2,A
1262,A421387,3,A
1263,A78614,0,A
1264,A162957,2,A
1265,A18547,2,A
1266,A421384,3,A
1267,A19014,1,A
1268,A95187,0,A
1269,A85884,3,A
1270,A308715,3,A
1271,A95027,0,A
1272,A106468,0,A
1273,A521,2,A
1274,A15083,3,A
1275,A29802,0,A
1276,A18201,2,A
1277,A71260,0,A
1278,A18780,2,A
1279,A422497,0,A
1280,A366309,1,A
1281,A316533,1,A
1282,A438450,0,A
1283,A15475,2,A
1284,A61874,0,A
1285,A175733,0,A
1286,A421218,3,A
1287,A157910,0,A
1288,A15278,2,A
1289,A174788,3,A
1290,A17596,2,A
1291,A19512,2,A
1292,A59381,1,A
1293,A84177,0,A
1294,A114417,0,A
1295,A117396,3,A
1296,A391330,1,A
1297,A117812,3,A
1298,A14112,2,A
1299,A42851,2,A
1300,A50160,0,A
1301,A18032,2,A
1302,A153259,3,A
1303,A421252,3,A
1304,A152305,0,A
1305,A421106,3,A
1306,A105290,2,A
1307,A15863,2,A
1308,A20470,2,A
1309,A113209,0,A
1310,A106076,3,A
1311,A153672,0,A
1312,A78341,0,A
1313,A261432,1,A
1314,A438613,0,A
1315,A171245,3,A
1316,A17496,2,A
1317,A422701,0,A
1318,A17210,2,A
1319,A18886,1,A
1320,A19595,2,A
1321,A114696,3,A
1322,A149445,0,A
1323,A260260,0,A
1324,A202013,0,A
1325,A18766,2,A
1326,A94855,0,A
1327,A16362,2,A
1328,A232626,2,A
1329,A18942,2,A
1330,A29313,0,A
1331,A84271,0,A
1332,A22981,1,A
1333,A34486,0,A
1334,A280942,3,A
1335,A398774,0,A
1336,A114790,3,A
1337,A50634,1,A
1338,A4327,2,A
1339,A158677,0,A
1340,A421305,3,A
1341,A49167,1,A
1342,A77782,0,A
1343,A125571,0,A
1344,A422646,0,A
1345,A18274,2,A
1346,A5048,2,A
1347,A13239,0,A
1348,A18876,2,A
1349,A12309,1,A
1350,A316627,2,A
1351,A39753,3,A
1352,A422222,0,A
1353,A19591,2,A
1354,A283053,2,A
1355,A171293,3,A
1356,A171558,1,A
1357,A11222,3,A
1358,A438121,0,A
1359,A151648,1,A
1360,A28262,3,A
1361,A20348,2,A
